Plot_ID;Sub-plot_ID;Country_Name;Network;Institution;Link;Year_Established;Year_Census;PI_team;Confidential;Lat_cnt;Lon_cnt;Lat_sw;Lon_sw;Lat_nw;Lon_nw;Lat_se;Lon_se;Lat_ne;Lon_ne;Altitude;Slope_degree;Plot_area;Plot_shape;Forest_status;Min_DBH;H_Lorey_local;H_Lorey_Chave;H_Lorey_Feldpausch;H_max_Local;H_max_Chave;H_max_Feldpausch;AGB_local;AGB_local_Cred_2.5;AGB_local_97.5;AGB_Feldpausch;AGB_Feldpausch_Cred_2.5;AGB_Feldpausch_Cred_97.5;AGB_Chave;AGB_ChaveCred_2.5;AGB_ChaveCred_97.5;Wood_density;GSV;BA;Ndens;Reference;Other_Measurements;Biomass_processing_protocol;Status;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AU_AdelaideRiver;1;Australia;AusCover;;http://www.auscover.org.au/xwiki/bin/view/Product+pages/Biomass+Plot+Library ;2008;2008;John Armston, Richard Lucas, Rebecca Trevithick;no;-13,076900;131,117800;-13,07733183;131,1173195;-13,076429;131,1173595;-13,077371;131,1182405;-13,07646817;131,1182805;;;1,00;;;10;8,8;;;21,2;;;21,7;;;;;;;;;;;;111;TERN AusCover. 2016. Biomass Plot Library. Obtained from http://qld.auscover.org.au/public/html/field/# , made available by the AusCover facility (http://www.auscover.org.au) of the Terrestrial Ecosystem Research Network (TERN, http://www.tern.org.au). Accessed 07.11.2016;;;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AU_BEN-NR1;1;Australia;AusCover;;http://www.auscover.org.au/xwiki/bin/view/Product+pages/Biomass+Plot+Library ;2005;2005;John Armston, Richard Lucas, Rebecca Trevithick;no;-36,521200;145,762800;-36,5212;145,7628;-36,5212;145,7628;-36,5212;145,7628;-36,5212;145,7628;;;0,30;;;5;;;;;;;91,5;;;;;;;;;;;;1090;TERN AusCover. 2016. Biomass Plot Library. Obtained from http://qld.auscover.org.au/public/html/field/# , made available by the AusCover facility (http://www.auscover.org.au) of the Terrestrial Ecosystem Research Network (TERN, http://www.tern.org.au). Accessed 07.11.2016;;;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AU_DalyRegrowth;1;Australia;AusCover;;http://www.auscover.org.au/xwiki/bin/view/Product+pages/Biomass+Plot+Library ;2008;2008;John Armston, Richard Lucas, Rebecca Trevithick;no;-14,130600;131,382800;-14,13103225;131,382318;-14,13012961;131,3823571;-14,13107039;131,3832429;-14,13016775;131,383282;;;1,00;;;5;4,3;;;6,0;;;1,5;;;;;;;;;;;;124;TERN AusCover. 2016. Biomass Plot Library. Obtained from http://qld.auscover.org.au/public/html/field/# , made available by the AusCover facility (http://www.auscover.org.au) of the Terrestrial Ecosystem Research Network (TERN, http://www.tern.org.au). Accessed 07.11.2016;;;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AU_Remnant6-Rugby_Reserve;1;Australia;AusCover;;http://www.auscover.org.au/xwiki/bin/view/Product+pages/Biomass+Plot+Library ;2000;2000;John Armston, Richard Lucas, Rebecca Trevithick;no;-34,364000;148,920400;-34,364;148,9204;-34,364;148,9204;-34,364;148,9204;-34,364;148,9204;;;0,75;;;5;;;;;;;391,9;;;;;;;;;;;;151;TERN AusCover. 2016. Biomass Plot Library. Obtained from http://qld.auscover.org.au/public/html/field/# , made available by the AusCover facility (http://www.auscover.org.au) of the Terrestrial Ecosystem Research Network (TERN, http://www.tern.org.au). Accessed 07.11.2016;;;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALV-02;0_0;Bolivia;RAINFOR;Uni Leeds;http://www.rainfor.org;2010;2010;Alejandro Araujo-Murakami (Museo de Historia Natural Noel Kempff Mercado, Universidad Autonoma Gabriel Rene Moreno);no;-16,082778;-61,883651;-16,083043;-61,883837;-16,082599;-61,883924;-16,082958;-61,883378;-16,082514;-61,883465;;;0,25;50x50;Mature;10;;14,5;21,8;;21,4;32,9;;;;307,2;266,1;357,8;212,0;180,0;255,5;0,711;;;;"Phillips O. L., Aragão L. E. O. C. , Lewis S. L. et al. 2009. Drought Sensitivity of the Amazon Rainforest. Science 323 (5919): 1344-1347. DOI: 10.1126/science.1164033; 
Brienen R. J. W., Phillips O. L., Feldpausch T. R. et al. 2015. Long-term decline of the Amazon carbon sink. Nature 519: 344–348. DOI: 10.1038/nature14283";;RepFOS_14Feb17_ForestPlots.pdf;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALV-02;0_1;Bolivia;RAINFOR;Uni Leeds;http://www.rainfor.org;2010;2010;Alejandro Araujo-Murakami (Museo de Historia Natural Noel Kempff Mercado, Universidad Autonoma Gabriel Rene Moreno);no;-16,082334;-61,883739;-16,082599;-61,883924;-16,082155;-61,884012;-16,082514;-61,883465;-16,082070;-61,883553;;;0,25;50x50;Mature;10;;14,7;22,2;;20,2;30,9;;;;312,8;268,1;361,3;214,8;185,7;255,0;0,728;;;;"Phillips O. L., Aragão L. E. O. C. , Lewis S. L. et al. 2009. Drought Sensitivity of the Amazon Rainforest. Science 323 (5919): 1344-1347. DOI: 10.1126/science.1164033; 
Brienen R. J. W., Phillips O. L., Feldpausch T. R. et al. 2015. Long-term decline of the Amazon carbon sink. Nature 519: 344–348. DOI: 10.1038/nature14283";;RepFOS_14Feb17_ForestPlots.pdf;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALV-02;1_0;Bolivia;RAINFOR;Uni Leeds;http://www.rainfor.org;2010;2010;Alejandro Araujo-Murakami (Museo de Historia Natural Noel Kempff Mercado, Universidad Autonoma Gabriel Rene Moreno);no;-16,082694;-61,883192;-16,082958;-61,883378;-16,082514;-61,883465;-16,082873;-61,882918;-16,082429;-61,883006;;;0,25;50x50;Mature;10;;14,7;22,1;;20,4;31,2;;;;268,4;229,9;316,8;185,6;155,3;220,7;0,661;;;;"Phillips O. L., Aragão L. E. O. C. , Lewis S. L. et al. 2009. Drought Sensitivity of the Amazon Rainforest. Science 323 (5919): 1344-1347. DOI: 10.1126/science.1164033; 
Brienen R. J. W., Phillips O. L., Feldpausch T. R. et al. 2015. Long-term decline of the Amazon carbon sink. Nature 519: 344–348. DOI: 10.1038/nature14283";;RepFOS_14Feb17_ForestPlots.pdf;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALV-02;1_1;Bolivia;RAINFOR;Uni Leeds;http://www.rainfor.org;2010;2010;Alejandro Araujo-Murakami (Museo de Historia Natural Noel Kempff Mercado, Universidad Autonoma Gabriel Rene Moreno);no;-16,082250;-61,883280;-16,082514;-61,883465;-16,082070;-61,883553;-16,082429;-61,883006;-16,081985;-61,883094;;;0,25;50x50;Mature;10;;14,7;22,2;;20,0;30,5;;;;253,6;220,1;293,0;176,0;150,7;205,1;0,648;;;;"Phillips O. L., Aragão L. E. O. C. , Lewis S. L. et al. 2009. Drought Sensitivity of the Amazon Rainforest. Science 323 (5919): 1344-1347. DOI: 10.1126/science.1164033; 
Brienen R. J. W., Phillips O. L., Feldpausch T. R. et al. 2015. Long-term decline of the Amazon carbon sink. Nature 519: 344–348. DOI: 10.1038/nature14283";;RepFOS_14Feb17_ForestPlots.pdf;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRP-02;0_0;Bolivia;RAINFOR;Uni Leeds;http://www.rainfor.org;1994;2009;Alejandro Araujo-Murakami (Museo de Historia Natural Noel Kempff Mercado, Universidad Autonoma Gabriel Rene Moreno), Luzmila Arroyo (Museo de Historia Natural Noel Kempff Mercado, Universidad Autónoma Gabriel Rene Moreno), Timothy Killeen (World Wildlife Fund), Jon Lloyd (Department of Life Sciences, Imperial College London), Oliver Phillips and Roel Brienen (School of Geography, University of Leeds), ;no;-14,539237;-61,498577;-14,539265;-61,498904;-14,538918;-61,498606;-14,539555;-61,498548;-14,539208;-61,498250;350;10-20;0,25;50x50;Dry lowland mixed old-growth forest, Terra Firma ;10;;19,2;22,3;;27,7;32,6;;;;200,0;172,7;233,0;176,0;149,9;206,2;0,66;;;;"Phillips O. L., Aragão L. E. O. C. , Lewis S. L. et al. 2009. Drought Sensitivity of the Amazon Rainforest. Science 323 (5919): 1344-1347. DOI: 10.1126/science.1164033; 
Brienen R. J. W., Phillips O. L., Feldpausch T. R. et al. 2015. Long-term decline of the Amazon carbon sink. Nature 519: 344–348. DOI: 10.1038/nature14283";;RepFOS_14Feb17_ForestPlots.pdf;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRP-02;0_1;Bolivia;RAINFOR;Uni Leeds;http://www.rainfor.org;1994;2009;Alejandro Araujo-Murakami (Museo de Historia Natural Noel Kempff Mercado, Universidad Autonoma Gabriel Rene Moreno), Luzmila Arroyo (Museo de Historia Natural Noel Kempff Mercado, Universidad Autónoma Gabriel Rene Moreno), Timothy Killeen (World Wildlife Fund), Jon Lloyd (Department of Life Sciences, Imperial College London), Oliver Phillips and Roel Brienen (School of Geography, University of Leeds), ;no;-14,538890;-61,498279;-14,538918;-61,498606;-14,538572;-61,498308;-14,539208;-61,498250;-14,538861;-61,497952;350;10-20;0,25;50x50;Dry lowland mixed old-growth forest, Terra Firma ;10;;20,1;23,3;;27,9;32,9;;;;216,0;184,2;254,8;189,2;159,2;223,9;0,662;;;;"Phillips O. L., Aragão L. E. O. C. , Lewis S. L. et al. 2009. Drought Sensitivity of the Amazon Rainforest. Science 323 (5919): 1344-1347. DOI: 10.1126/science.1164033; 
Brienen R. J. W., Phillips O. L., Feldpausch T. R. et al. 2015. Long-term decline of the Amazon carbon sink. Nature 519: 344–348. DOI: 10.1038/nature14283";;RepFOS_14Feb17_ForestPlots.pdf;auxiliary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
